"Research that uses data from D-PLACE should cite both the original source(s) of the data and the paper by Kirby et al. in which D-PLACE was first presented (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001); Binford and Johnson (2006); Kirby et al. 2016)."" The reference list should include the date data were accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001), Binford and Johnson (2006), and Kirby et al. 2016."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: B004 Subsistence economy: Most important activity,Code: B004 Subsistence economy: Most important activity,Description: B004 Subsistence economy: Most important activity,Comment: B004 Subsistence economy: Most important activity,Subcase: B004 Subsistence economy: Most important activity,References: B004 Subsistence economy: Most important activity,Focal Year: B037 Ownership of resource locations ,Code: B037 Ownership of resource locations ,Description: B037 Ownership of resource locations ,Comment: B037 Ownership of resource locations ,Subcase: B037 Ownership of resource locations ,References: B037 Ownership of resource locations ,Focal Year: B031 Type of social class distinction,Code: B031 Type of social class distinction,Description: B031 Type of social class distinction,Comment: B031 Type of social class distinction,Subcase: B031 Type of social class distinction,References: B031 Type of social class distinction
Binford Hunter-Gatherer,Hupa,B180,xd1096,Hupa (B180),,,40.93,-123.61,40.93,-123.61,hupa1239,Hupa,hup,Athapaskan-Eyak-Tlingit,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cook (1956); Gifford (1926b); Goddard (1904); Kroeber (1925a); Wallace (1978a),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Cook (1956); Gifford (1926b); Goddard (1904); Kroeber (1925a); Wallace (1978a),1860,2,Wealth distinctions only,,,Cook (1956); Gifford (1926b); Goddard (1904); Kroeber (1925a); Wallace (1978a)
Binford Hunter-Gatherer,Yiiji,B89,xd942,Jeidji (B89),,,-15.55,128.19,-15.55,128.19,wuna1249,Wunambal,wub,Worrorran,1920,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Kaberry (1935); Kaberry (1939),1920,1,"No ownership reported, use rights recognized by others",,,Kaberry (1935); Kaberry (1939),1920,1,Absence of any significant class distinctions,,,Kaberry (1935); Kaberry (1939)
Binford Hunter-Gatherer,Gosiute,B214,xd1183,Gosiute Shoshoni (B214),Western,NT22,39.88,-114.0,39.88,-114.0,gosi1242,Gosiute,,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Southern Valley Yokuts,B148,xd1123,Lake Yokuts (B148),Yokuts,NS29,36.0,-119.83,36.0,-119.83,vall1251,Valley Yokuts,,Yokutsan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cook (1955); Gayton (1948a); Gifford (1926b); Kroeber (1925a); Wallace (1978b),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Cook (1955); Gayton (1948a); Gifford (1926b); Kroeber (1925a); Wallace (1978b),1860,2,Wealth distinctions only,,,Cook (1955); Gayton (1948a); Gifford (1926b); Kroeber (1925a); Wallace (1978b)
Binford Hunter-Gatherer,Waswanipi Cree,B340,xd1005,Waswanipi Cree (B340),,,49.78,-76.64,49.78,-76.64,sout2978,Southern East Cree,crj,Algic,1900,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Morantz (1983); Rogers (1969),1900,1,"No ownership reported, use rights recognized by others",,,Morantz (1983); Rogers (1969),1900,1,Absence of any significant class distinctions,,,Morantz (1983); Rogers (1969)
Binford Hunter-Gatherer,Coeur d’Alene,B320,xd1146,Coeur d'Alene (B320),Southeast,NR19,47.42,-116.34,47.42,-116.34,coeu1236,Coeur d'Alene,crd,Salishan,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Teit (1930),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Teit (1930),1860,2,Wealth distinctions only,,,Teit (1930)
Binford Hunter-Gatherer,Guaicura,B190,xd985,Guaicura (B190),,,25.0,-111.54,25.0,-111.54,guai1237,Guaicurian,,Guaicurian,1760,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Aschmann (1967); Baegert (1863); Baegert (1865),1760,1,"No ownership reported, use rights recognized by others",,,Aschmann (1967); Baegert (1863); Baegert (1865),1760,1,Absence of any significant class distinctions,,,Aschmann (1967); Baegert (1863); Baegert (1865)
Binford Hunter-Gatherer,Alyawara,B117,xd964,Alyawara (B117),,,-22.27,135.17,-22.27,135.17,alya1239,Alyawarr,aly,Pama-Nyungan,1965,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Binford field notes (1974); Campbell et al. (1936); Denham (1975); O'Connell (1987),1965,1,"No ownership reported, use rights recognized by others",,,Binford field notes (1974); Campbell et al. (1936); Denham (1975); O'Connell (1987),1965,1,Absence of any significant class distinctions,,,Binford field notes (1974); Campbell et al. (1936); Denham (1975); O'Connell (1987)
Binford Hunter-Gatherer,Yurok,B186,xd1101,Yurok (B186),Yurok,NS31,41.4,-123.89,41.4,-123.89,yuro1248,Yurok,yur,Algic,1850,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cook (1956); Gifford (1926b); Heizer and Mills (1952); Kroeber (1925a); Schalk (1978),1850,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Cook (1956); Gifford (1926b); Heizer and Mills (1952); Kroeber (1925a); Schalk (1978),1850,2,Wealth distinctions only,,,Cook (1956); Gifford (1926b); Heizer and Mills (1952); Kroeber (1925a); Schalk (1978)
Binford Hunter-Gatherer,Tutchone,B363,xd1012,Tutchone (B363),,,61.24,-138.21,61.24,-138.21,nort2941,Northern Tutchone,ttm,Athapaskan-Eyak-Tlingit,1890,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Legros (1982); McClellan (1981); O'Leary (1985),1890,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Legros (1982); McClellan (1981); O'Leary (1985),1890,2,Wealth distinctions only,,,Legros (1982); McClellan (1981); O'Leary (1985)
Binford Hunter-Gatherer,Burarra,B86,xd941,Anbarra (B86),,,-12.2,134.73,-12.2,134.73,gunn1247,Gun-narta,,Maningrida,1973,3,Majority of a group's nutritional intake comes from aquatic resources,,,Meehan (1982); Peterson and Long (1986),1973,1,"No ownership reported, use rights recognized by others",,,Meehan (1982); Peterson and Long (1986),1973,1,Absence of any significant class distinctions,,,Meehan (1982); Peterson and Long (1986)
Binford Hunter-Gatherer,Walmbaria,B98,xd947,Walmbaria (B98),,,-14.34,144.22,-14.34,144.22,flin1247,Flinders Island,fln,Pama-Nyungan,1926,3,Majority of a group's nutritional intake comes from aquatic resources,,,Hale and Tindale (1933); Roth (1909),1926,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Hale and Tindale (1933); Roth (1909),1926,1,Absence of any significant class distinctions,,,Hale and Tindale (1933); Roth (1909)
Binford Hunter-Gatherer,Kaurna,B129,xd974,Kaurna (B129),,,-34.56,138.4,-34.56,138.4,kaur1267,Kaurna,zku,Pama-Nyungan,1840,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cawthorne (1844); Draper pers. comm. (1993),1840,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Cawthorne (1844); Draper pers. comm. (1993),1840,1,Absence of any significant class distinctions,,,Cawthorne (1844); Draper pers. comm. (1993)
Binford Hunter-Gatherer,Coahuilteco,B194,xd1221,Coahuilenos (B194),,,26.0,-102.07,26.0,-102.07,coah1252,Coahuilteco,xcw,Coahuilteco,1715,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,,1715,1,"No ownership reported, use rights recognized by others",,,,1715,1,Absence of any significant class distinctions,,,
Binford Hunter-Gatherer,Alacaluf,B53,xd1387,Alacaluf (B53),,,-49.55,-74.52,-49.55,-74.52,qawa1238,Qawasqar,alc,Kawesqar,1900,3,Majority of a group's nutritional intake comes from aquatic resources,,,Bird (1946); Bird (1988); Bird pers. comm. (1970); Lothrop (1928),1900,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Bird (1946); Bird (1988); Bird pers. comm. (1970); Lothrop (1928),1900,1,Absence of any significant class distinctions,,,Bird (1946); Bird (1988); Bird pers. comm. (1970); Lothrop (1928)
Binford Hunter-Gatherer,DeneTha,B345,xd1034,Slave (B345),,,61.15,-119.5,61.15,-119.5,sout2959,South Slavey,xsl,Athapaskan-Eyak-Tlingit,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Helm (1961); Ives (1985); Janes (1983); MacKenzie (1966),1860,1,"No ownership reported, use rights recognized by others",,,Helm (1961); Ives (1985); Janes (1983); MacKenzie (1966),1860,1,Absence of any significant class distinctions,,,Helm (1961); Ives (1985); Janes (1983); MacKenzie (1966)
Binford Hunter-Gatherer,Wiyambituka,B233,xd1170,Little Smokey Shoshoni (B233),Western,NT22,39.33,-115.84,39.33,-115.84,west2622,Western Shoshoni,,Uto-Aztecan,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Baka,B63,xd926,Baka (B63),,,2.39,15.31,2.39,15.31,baka1272,Baka (Cameroon),bkc,Atlantic-Congo,1980,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cavalli-Sforza (1986a); Cavalli-Sforza (1986c); Hiernaux et al. (1975); Vallois and Marquer (1976),1980,1,"No ownership reported, use rights recognized by others",,,Cavalli-Sforza (1986a); Cavalli-Sforza (1986c); Hiernaux et al. (1975); Vallois and Marquer (1976),1980,1,Absence of any significant class distinctions,,,Cavalli-Sforza (1986a); Cavalli-Sforza (1986c); Hiernaux et al. (1975); Vallois and Marquer (1976)
Binford Hunter-Gatherer,Bannock,B252,xd1200,Bannock (B252),,,43.66,-112.32,43.66,-112.32,bann1248,Bannock,,Uto-Aztecan,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Boas (1899); Murphy and Murphy (1960); Steward (1938),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Boas (1899); Murphy and Murphy (1960); Steward (1938),1860,2,Wealth distinctions only,,,Boas (1899); Murphy and Murphy (1960); Steward (1938)
Binford Hunter-Gatherer,Maidu,B185,xd1110,Mountain Maidu (B185),,,40.28,-120.56,40.28,-120.56,nort2952,Northeast Maidu,nmu,Maiduan,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cook and Heizer (1965); Dixon (1905); Gifford (1926b),1850,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Cook and Heizer (1965); Dixon (1905); Gifford (1926b),1850,2,Wealth distinctions only,,,Cook and Heizer (1965); Dixon (1905); Gifford (1926b)
Binford Hunter-Gatherer,Yukaghir,B26,xd634,Yukaghir (B26),,,70.0,145.0,70.0,145.0,nort2745,Northern Yukaghir,ykg,Yukaghir,1900,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Jochelson (1919-26); Jochelson (1919-26); Kreynovich (1979),1900,4,Elite ownership of land and resources,,,Jochelson (1919-26); Jochelson (1919-26); Kreynovich (1979),1900,1,Absence of any significant class distinctions,,,Jochelson (1919-26); Jochelson (1919-26); Kreynovich (1979)
Binford Hunter-Gatherer,Chehalis,B272,xd997,Chehalis (B272),,,46.87,-123.67,46.87,-123.67,lowe1427,Lower Chehalis,cea,Salishan,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Schalk (1978); Taylor (1974a); Taylor (1974b),1880,4,Elite ownership of land and resources,,,Schalk (1978); Taylor (1974a); Taylor (1974b),1880,2,Wealth distinctions only,,,Schalk (1978); Taylor (1974a); Taylor (1974b)
Binford Hunter-Gatherer,Ungazikmit,B28,xd622,Siberian Eskimo (B28),,,65.96,170.08,65.96,170.08,chap1266,Chaplino,,Eskimo-Aleut,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Bogoras (1904); Hayden et al. (1996); Krupnik (1983a); Moore (1923); Szathmary (1984),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Bogoras (1904); Hayden et al. (1996); Krupnik (1983a); Moore (1923); Szathmary (1984),1860,2,Wealth distinctions only,,,Bogoras (1904); Hayden et al. (1996); Krupnik (1983a); Moore (1923); Szathmary (1984)
Binford Hunter-Gatherer,Attawapiskat Cree,B353,xd1065,Attawapiskat Cree (B353),,,53.62,-83.88,53.62,-83.88,swam1239,Swampy Cree,csw,Algic,1900,3,Majority of a group's nutritional intake comes from aquatic resources,,,Honigmann (1949); Honigmann (1956b); Honigmann (1981); Mason (1967),1900,1,"No ownership reported, use rights recognized by others",,,Honigmann (1949); Honigmann (1956b); Honigmann (1981); Mason (1967),1900,1,Absence of any significant class distinctions,,,Honigmann (1949); Honigmann (1956b); Honigmann (1981); Mason (1967)
Binford Hunter-Gatherer,Cupeño,B145,xd1132,Cupeno (B145),,,33.26,-116.59,33.26,-116.59,cupe1243,Cupeño,cup,Uto-Aztecan,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gifford (1926b); Strong (1929a),1870,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Gifford (1926b); Strong (1929a),1870,1,Absence of any significant class distinctions,,,Gifford (1926b); Strong (1929a)
Binford Hunter-Gatherer,Walbiri,B109,xd773,Walbiri (B109),,,-20.0,130.57,-20.0,130.57,warl1254,Warlpiri,wbp,Pama-Nyungan,1965,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Abbie (1957); Meggitt (1962); Meggitt pers. comm. (1973),1965,1,"No ownership reported, use rights recognized by others",,,Abbie (1957); Meggitt (1962); Meggitt pers. comm. (1973),1965,1,Absence of any significant class distinctions,,,Abbie (1957); Meggitt (1962); Meggitt pers. comm. (1973)
Binford Hunter-Gatherer,Cowichan,B280,xd1086,Cowichan (B280),,,48.41,-123.64,48.41,-123.64,cowi1241,Cowichan,,Salishan,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Hill-Tout (1904); Suttles (1990); Wilson (1866),1880,4,Elite ownership of land and resources,,,Hill-Tout (1904); Suttles (1990); Wilson (1866),1880,2,Wealth distinctions only,,,Hill-Tout (1904); Suttles (1990); Wilson (1866)
Binford Hunter-Gatherer,Pekangekum,B334,xd1050,Pekangekum Ojibwa (B334),Ojibwa,NG06,51.84,-93.85,51.84,-93.85,lacs1238,Lac Seul Ojibwa,,Algic,1940,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Dunning (1959); Grant (1924); Rogers (1969),1940,1,"No ownership reported, use rights recognized by others",,,Dunning (1959); Grant (1924); Rogers (1969),1940,1,Absence of any significant class distinctions,,,Dunning (1959); Grant (1924); Rogers (1969)
Binford Hunter-Gatherer,Sekani,B343,xd1044,Sekani (B343),,,56.14,-120.0,56.14,-120.0,seka1250,Sekani,sek,Athapaskan-Eyak-Tlingit,1880,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Dennison (1981); Grant (1936); Jenness (1937),1880,1,"No ownership reported, use rights recognized by others",,,Dennison (1981); Grant (1936); Jenness (1937),1880,1,Absence of any significant class distinctions,,,Dennison (1981); Grant (1936); Jenness (1937)
Binford Hunter-Gatherer,Spring Valley Shoshoni,B215,xd995,Spring Valley Shoshoni (B215),,,39.19,-114.48,39.19,-114.48,west2622,Western Shoshoni,,Uto-Aztecan,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Steward (1938),1870,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1870,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Copper Inuit,B381,xd1022,Copper Inuit (B381),Copper Eskimo,ND08,68.58,-106.61,68.58,-106.61,copp1244,Copper Inuktitut,,Eskimo-Aleut,1920,3,Majority of a group's nutritional intake comes from aquatic resources,,,Damas (1972); Damas (1984); Hayden et al. (1996); Jenness (1922); Jenness (1932); Rasmussen (1932),1920,1,"No ownership reported, use rights recognized by others",,,Damas (1972); Damas (1984); Hayden et al. (1996); Jenness (1922); Jenness (1932); Rasmussen (1932),1920,1,Absence of any significant class distinctions,,,Damas (1972); Damas (1984); Hayden et al. (1996); Jenness (1922); Jenness (1932); Rasmussen (1932)
Binford Hunter-Gatherer,Tunava (Deep Springs),B206,xd1162,Deep Springs Paiute (B206),,,37.28,-118.0,37.28,-118.0,mono1275,Mono (USA),mnr,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Fowler and Liljeblad (1986); Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Fowler and Liljeblad (1986); Steward (1938),1860,1,Absence of any significant class distinctions,,,Fowler and Liljeblad (1986); Steward (1938)
Binford Hunter-Gatherer,Karuk,B182,xd1095,Karok (B182),,,41.58,-123.47,41.58,-123.47,karo1304,Karok,kyh,Karok,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cook (1956); Cook and Heizer (1965); Schenck and Gifford (1952),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Cook (1956); Cook and Heizer (1965); Schenck and Gifford (1952),1860,2,Wealth distinctions only,,,Cook (1956); Cook and Heizer (1965); Schenck and Gifford (1952)
Binford Hunter-Gatherer,Bororo,B41,xd1397,Bororo (B41),Bororo,SP08,-16.0,-55.0,16.52,-55.0,boro1282,Bororo,bor,Bororoan,1920,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Baldus (1937); Cook (1908); Lévi-Strauss (1936); Lévi-Strauss (1970); Newman (1953),1920,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Baldus (1937); Cook (1908); Lévi-Strauss (1936); Lévi-Strauss (1970); Newman (1953),1920,1,Absence of any significant class distinctions,,,Baldus (1937); Cook (1908); Lévi-Strauss (1936); Lévi-Strauss (1970); Newman (1953)
Binford Hunter-Gatherer,Yavapai,B196,xd1203,Yavapai (B196),,,33.37,-110.5,33.37,-110.5,yava1252,Yavapai,,Cochimi-Yuman,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Corbusier (1886); Gifford (1932a),1870,1,"No ownership reported, use rights recognized by others",,,Corbusier (1886); Gifford (1932a),1870,1,Absence of any significant class distinctions,,,Corbusier (1886); Gifford (1932a)
Binford Hunter-Gatherer,Warunggu,B107,xd955,Warunggu (B107),,,-18.41,145.61,-18.41,145.61,waru1264,Warungu,wrg,Pama-Nyungan,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Brayshaw (1990); Lumholtz (1889),1870,1,"No ownership reported, use rights recognized by others",,,Brayshaw (1990); Lumholtz (1889),1870,1,Absence of any significant class distinctions,,,Brayshaw (1990); Lumholtz (1889)
Binford Hunter-Gatherer,Chiricahua,B242,xd1259,Chiricahua Apache (B242),Eastern Apache,NT08,32.52,-101.76,32.52,-101.76,mesc1238,Mescalero-Chiricahua Apache,apm,Athapaskan-Eyak-Tlingit,1880,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Basehart (1972); Morice (1906b); Opler (1937),1880,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Basehart (1972); Morice (1906b); Opler (1937),1880,1,Absence of any significant class distinctions,,,Basehart (1972); Morice (1906b); Opler (1937)
Binford Hunter-Gatherer,Tunava (Fish Lake),B211,xd1162,Fish Lake Paiute (B211),,,37.69,-118.14,37.69,-118.14,mono1275,Mono (USA),mnr,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Mountain Dene,B350,xd1007,Mountain (B350),,,63.68,-125.37,63.68,-125.37,nort2942,North Slavey,scs,Athapaskan-Eyak-Tlingit,1800,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Gillespie (1981),1800,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Gillespie (1981),1800,1,Absence of any significant class distinctions,,,Gillespie (1981)
Binford Hunter-Gatherer,Wadaduka,B228,xd1176,Wadaduica (Ruby Valley Shoshoni) (B228),,,40.36,-115.39,40.36,-115.39,west2622,Western Shoshoni,,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Birhor,B18,xd911,Birhor (B18),,,23.41,84.38,23.41,84.38,birh1242,Birhor,biy,Austroasiatic,1963,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Sen and Sen (1955); Williams (1974),1963,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Sen and Sen (1955); Williams (1974),1963,1,Absence of any significant class distinctions,,,Sen and Sen (1955); Williams (1974)
Binford Hunter-Gatherer,Badjalang,B119,xd966,Badjalang (B119),,,-29.59,152.78,-29.59,152.78,band1339,Yugambeh-Bandjalang,bdy,Pama-Nyungan,1850,3,Majority of a group's nutritional intake comes from aquatic resources,,,Belshaw (1978); de Bertrodano (1978); Gardner (1978),1850,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Belshaw (1978); de Bertrodano (1978); Gardner (1978),1850,1,Absence of any significant class distinctions,,,Belshaw (1978); de Bertrodano (1978); Gardner (1978)
Binford Hunter-Gatherer,Twana,B271,xd1079,Twana (B271),,,47.55,-123.16,47.55,-123.16,twan1247,Twana,twa,Salishan,1850,3,Majority of a group's nutritional intake comes from aquatic resources,,,Eells (1884); Eells (1887a); Elmendorf (1960); Kelly (1995),1850,4,Elite ownership of land and resources,,,Eells (1884); Eells (1887a); Elmendorf (1960); Kelly (1995),1850,2,Wealth distinctions only,,,Eells (1884); Eells (1887a); Elmendorf (1960); Kelly (1995)
Binford Hunter-Gatherer,Kiowa Apache,B244,xd1219,Kiowa Apache (B244),,,35.83,-98.9,35.83,-98.9,kiow1264,Kiowa Apache,apk,Athapaskan-Eyak-Tlingit,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bamforth (1988); Ewers (1955),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Bamforth (1988); Ewers (1955),1860,1,Absence of any significant class distinctions,,,Bamforth (1988); Ewers (1955)
Binford Hunter-Gatherer,Wegamon Ojibwa,B341,xd1006,Wegamon Ojibwa (B341),,,52.79,-90.64,52.79,-90.64,seve1241,Severn River Ojibwa,,Algic,1890,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Boas (1895a); Rogers and Black (1976),1890,1,"No ownership reported, use rights recognized by others",,,Boas (1895a); Rogers and Black (1976),1890,1,Absence of any significant class distinctions,,,Boas (1895a); Rogers and Black (1976)
Binford Hunter-Gatherer,Chimariko,B162,xd1094,Chimariko (B162),,,40.85,-123.3,40.85,-123.3,chim1301,Chimariko,cid,Chimariko,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Dixon (1910),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Dixon (1910),1860,1,Absence of any significant class distinctions,,,Dixon (1910)
Binford Hunter-Gatherer,Cheyenne,B245,xd1224,Cheyenne (B245),,,38.83,-102.35,38.83,-102.35,chey1247,Cheyenne,chy,Algic,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bushnell (1922); Gussow (1954); Moore (1987); Moore (1991),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Bushnell (1922); Gussow (1954); Moore (1987); Moore (1991),1860,2,Wealth distinctions only,,,Bushnell (1922); Gussow (1954); Moore (1987); Moore (1991)
Binford Hunter-Gatherer,Tasiilaq,B388,xd1040,Angmaksalik (B388),,,65.64,-37.64,65.63,-37.64,east2535,East Greenlandic,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Birket-Smith (1928a); Hansen (1914); Hayden et al. (1996); Holm (1914); Mirsky (1937a); Peterson (1984); Poulsen (1909); Thalbitzer (1914),1880,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Birket-Smith (1928a); Hansen (1914); Hayden et al. (1996); Holm (1914); Mirsky (1937a); Peterson (1984); Poulsen (1909); Thalbitzer (1914),1880,1,Absence of any significant class distinctions,,,Birket-Smith (1928a); Hansen (1914); Hayden et al. (1996); Holm (1914); Mirsky (1937a); Peterson (1984); Poulsen (1909); Thalbitzer (1914)
Binford Hunter-Gatherer,Aimoré,B48,xd1413,Botocudo (B48),,,-18.71,-41.86,-18.71,-41.86,kren1239,Krenak,kqq,Nuclear-Macro-Je,1880,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Ehrenreich (1887); Metraux (1946botocudo); Metraux and Baldus (1946),1880,1,"No ownership reported, use rights recognized by others",,,Ehrenreich (1887); Metraux (1946botocudo); Metraux and Baldus (1946),1880,1,Absence of any significant class distinctions,,,Ehrenreich (1887); Metraux (1946botocudo); Metraux and Baldus (1946)
Binford Hunter-Gatherer,Nipigon,B337,xd1051,Nipigon Ojibwa (B337),Ojibwa,NG06,49.34,-88.31,49.34,-88.31,cent2136,Central Ojibwa,ojc,Algic,1800,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Cameron (1890); Grant (1890); Hickerson (1962),1800,1,"No ownership reported, use rights recognized by others",,,Cameron (1890); Grant (1890); Hickerson (1962),1800,2,Wealth distinctions only,,,Cameron (1890); Grant (1890); Hickerson (1962)
Binford Hunter-Gatherer,Baffin Island Inuit,B386,xd1030,Baffin Island Inuit (B386),,,65.21,-64.65,65.0,-65.0,baff1240,Baffinland Eskimo,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Boas (1888); Boas (1964); Christy (1894); Hantzsch (1977); Low (1906); Oetteking (1931); Roberts (1953),1880,1,"No ownership reported, use rights recognized by others",,,Boas (1888); Boas (1964); Christy (1894); Hantzsch (1977); Low (1906); Oetteking (1931); Roberts (1953),1880,1,Absence of any significant class distinctions,,,Boas (1888); Boas (1964); Christy (1894); Hantzsch (1977); Low (1906); Oetteking (1931); Roberts (1953)
Binford Hunter-Gatherer,Round Lake Ojibwa,B335,xd1003,Round Lake Ojibwa (B335),,,52.71,-90.62,52.71,-90.62,seve1241,Severn River Ojibwa,,Algic,1900,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Grant (1924); Rogers (1963a); Rogers (1963b); Rogers (1969),1900,1,"No ownership reported, use rights recognized by others",,,Grant (1924); Rogers (1963a); Rogers (1963b); Rogers (1969),1900,1,Absence of any significant class distinctions,,,Grant (1924); Rogers (1963a); Rogers (1963b); Rogers (1969)
